file_name,decision,reason,duplicate_group,notes
18 Verletzte bei Demos in Chemnitz.PDF,keep,core_event_or_useful_analysis,,
2. BUNDESLIGA.PDF,keep,core_event_or_useful_analysis,,
2000 Polizisten halten in Chemnitz die Demonstranten auseinander Großkundgebungen bleiben weitgehend.PDF,keep,core_event_or_useful_analysis,,
_Am Arsch_.PDF,keep,core_event_or_useful_analysis,,
"_Bekannt sind wir jetzt jedenfalls_ Sören Uhle hat den schwierigen Job, für den Standort Chemnitz zu.PDF",keep,core_event_or_useful_analysis,,
"_Das Gefühl, nicht sicher leben zu können_ Chemnitz und die Folgen_ Sachsens Vizeregierungschef Duli.PDF",keep,core_event_or_useful_analysis,,
_Der Osten lässt sich nicht mehr mit der DDR erklären_.PDF,keep,core_event_or_useful_analysis,,
_Die Diskussion ist absurd_ CHEMNITZ Verfassungsschutz sieht keine Belege für Hetzjagd. Opferberatun.PDF,keep,core_event_or_useful_analysis,,
_Ein Staat auf dem Rückzug_.PDF,keep,core_event_or_useful_analysis,,
_Eine Diktatur zu viel_ In Ostdeutschland sind immer noch Spätfolgen von Nationalsozialismus und Kom.PDF,keep,core_event_or_useful_analysis,,
"_Es gab keinen Mob, keine Hetzjagd und keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisie.PDF",drop,duplicate_near,near_001,"Dropped in favor of representative file: _Keinen Mob, keine Hetzjagd, keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisiert die Ber.PDF (near_001)."
"_Es ist normal, dass Menschen dann ausrasten_ AfDChef Gauland zeigt trotz der Ausschreitungen in Che.PDF",keep,core_event_or_useful_analysis,,
_Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei(2).PDF,keep,core_event_or_useful_analysis,near_002,Representative kept for near_002.
_Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei.PDF,drop,duplicate_near,near_002,Dropped in favor of representative file: _Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei(2).PDF (near_002).
_Hetzjagden nehmen wir nicht hin_ Angela Merkel verurteilt die Ausschreitungen in Chemnitz. Doch die.PDF,keep,core_event_or_useful_analysis,,
_In Frankfurt ist kein Platz für Ausgrenzung_.PDF,keep,core_event_or_useful_analysis,near_003,Representative kept for near_003.
_Kein Platz für Ausgrenzung_.PDF,drop,duplicate_near,near_003,Dropped in favor of representative file: _In Frankfurt ist kein Platz für Ausgrenzung_.PDF (near_003).
"_Keinen Mob, keine Hetzjagd, keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisiert die Ber.PDF",keep,core_event_or_useful_analysis,near_001,Representative kept for near_001.
"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF",keep,core_event_or_useful_analysis,near_004,Representative kept for near_004.
"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF",drop,duplicate_near,near_004,"Dropped in favor of representative file: _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF (near_004)."
_Zur Not bindet euch den rechten Arm fest_.PDF,keep,core_event_or_useful_analysis,,
