group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Der Vater aller Probleme(2).PDF | Der Vater aller Probleme.PDF,Der Vater aller Probleme | Der Vater aller Probleme,Rheinische Post | Rheinische Post,Mittwoch 12. September 2018 | Mittwoch 12. September 2018
exact_002,duplicate_exact,2,"Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu bef(2).PDF | Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu bef.PDF","Niemand hat die Absicht; Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu befeuern | Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu befeuern",Berliner Zeitung | Berliner Zeitung,30. August 2018 | 30. August 2018
near_001,duplicate_near,2,_In Frankfurt ist kein Platz für Ausgrenzung_.PDF | _Kein Platz für Ausgrenzung_.PDF,"""In Frankfurt ist kein Platz für Ausgrenzung"" | ""Kein Platz für Ausgrenzung""",Frankfurter Rundschau | Frankfurter Rundschau,Montag 3. September 2018 | Montag 3. September 2018
near_002,duplicate_near,2,"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF | _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF","""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska | ""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska",Berliner Zeitung | Berliner Zeitung,01. September 2018 | 01. September 2018
near_003,duplicate_near,2,Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis(2).PDF | Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.PDF,Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis. | Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),13. September 2018 | 13. September 2018
near_004,duplicate_near,2,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_.PDF,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz? | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
near_005,duplicate_near,2,Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die 65(2).PDF | Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die 65.PDF,Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die | Die Mitte muss brummen Am Montag hat Chemnitz sich aufgelehnt gegen Rechtsextreme. Nur kamen die,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
near_006,duplicate_near,2,Die tanzende Mehrheit Warum Musik stärker sein kann als Politik(2).PDF | Die tanzende Mehrheit Warum Musik stärker sein kann als Politik.PDF,Die tanzende Mehrheit; Warum Musik stärker sein kann als Politik | Die tanzende Mehrheit Warum Musik stärker sein kann als Politik,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
near_007,duplicate_near,2,"Er sagt, er habe Angst Ein Abend voller Missverständnisse_ Mit einem Schulfreund in der alten Heimat(2).PDF | Er sagt, er habe Angst Ein Abend voller Missverständnisse_ Mit einem Schulfreund in der alten Heimat.PDF","Er sagt, er habe Angst Ein Abend voller Missverständnisse: Mit einem Schulfreund in der alten Heimat Karl- | Er sagt, er habe Angst Ein Abend voller Missverständnisse: Mit einem Schulfreund in der alten Heimat Karl-",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),13. September 2018 | 13. September 2018
near_008,duplicate_near,2,"Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w(2).PDF | Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w.PDF","Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt: Rechts macht mobil , links hält ein wenig | Funkenflug; Jagdszenen in Chemnitz, einer deutschen Großstadt: Rechts macht mobil, links hält ein wenig",Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
near_009,duplicate_near,2,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. O.PDF | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -.PDF,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -,Berliner Zeitung | Berliner Zeitung,06. September 2018 | 06. September 2018
