batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Cologne,Cologne,Cologne(113).ZIP,"500 _ 0 In der Rigaer rückt die Polizei an. Und bei mir_ Ein Kreuzberger ärgert sich über Einbrüche,.PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\500 _ 0 In der Rigaer rückt die Polizei an. Und bei mir_ Ein Kreuzberger ärgert sich über Einbrüche,.PDF","500 : 0 In der Rigaer rückt die Polizei an. Und bei mir? Ein Kreuzberger ärgert sich über Einbrüche,",500  0 in der rigaer rückt die polizei an und bei mir ein kreuzberger ärgert sich über einbrüche,Der Tagesspiegel,der tagesspiegel,Sonntag 17. Januar 2016,Mark Terkessidis,1001,6973,5c7653878c6d05afd49aa9198d9a474d42dc2dda,,unique,keep,,no,,no,,,BERLIN; S. 10; Ausg. 22642,no,
Cologne,Cologne,Cologne(113).ZIP,516 Strafanzeigen zur Neujahrsnacht Tätergruppen verabredeten sich womöglich zu gemeinschaftlicher s.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\516 Strafanzeigen zur Neujahrsnacht Tätergruppen verabredeten sich womöglich zu gemeinschaftlicher s.PDF,516 Strafanzeigen zur Neujahrsnacht Tätergruppen verabredeten sich womöglich zu gemeinschaftlicher,516 strafanzeigen zur neujahrsnacht tätergruppen verabredeten sich womöglich zu gemeinschaftlicher,Kölner Stadt-Anzeiger,kölner stadtanzeiger,11. Januar 2016,TIM STINAUER,376,2788,fed28e14b08ba9cf376ab3409d7adaa10a2b717f,,unique,keep,,no,,no,,,BL; S. 2,no,
Cologne,Cologne,Cologne(113).ZIP,_CSU macht Stimmung gegen Flüchtlinge_ SPD kritisiert Forderung des Koalitionspartners nach den Köln.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_CSU macht Stimmung gegen Flüchtlinge_ SPD kritisiert Forderung des Koalitionspartners nach den Köln.PDF,"""CSU macht Stimmung gegen Flüchtlinge"" SPD kritisiert Forderung des Koalitionspartners nach den Kölner",csu macht stimmung gegen flüchtlinge spd kritisiert forderung des koalitionspartners nach den kölner,Der Tagesspiegel,der tagesspiegel,Donnerstag 7. Januar 2016,Hans Monath,463,3290,a58a54f4eb818e5fb90af0d00996200f99856374,,unique,keep,,no,,no,,,TITEL; S. 1; Ausg. 22632,no,
Cologne,Cologne,Cologne(113).ZIP,_Die haben uns nur weggeschickt_ Zeugen sprechen von Überforderung der Polizei in der Silvesternacht.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Die haben uns nur weggeschickt_ Zeugen sprechen von Überforderung der Polizei in der Silvesternacht.PDF,"""Die haben uns nur weggeschickt"" Zeugen sprechen von Überforderung der Polizei in der Silvesternacht am",die haben uns nur weggeschickt zeugen sprechen von überforderung der polizei in der silvesternacht am,Kölner Stadt-Anzeiger,kölner stadtanzeiger,07. Januar 2016,TIM STINAUER,777,5313,e809f0fdf15d5a5cdf128ffc1d96a7b80b3d04be,,unique,keep,,no,,no,,,BL; S. 3,no,
Cologne,Cologne,Cologne(113).ZIP,_Die Männer haben mich umzingelt und begrapscht_.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Die Männer haben mich umzingelt und begrapscht_.PDF,"""Die Männer haben mich umzingelt und begrapscht""",die männer haben mich umzingelt und begrapscht,Rheinische Post,rheinische post,Freitag 8. Januar 2016,,180,1168,11b8e09156f06369dd11a0d55f989ba1c7f1384c,,unique,keep,,no,,no,,,LAND UND LEUTE,no,
Cologne,Cologne,Cologne(113).ZIP,"_Die waren geübt darin, Leute zu bestehlen_.PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Die waren geübt darin, Leute zu bestehlen_.PDF","""Die waren geübt darin, Leute zu bestehlen""",die waren geübt darin leute zu bestehlen,Frankfurter Rundschau,frankfurter rundschau,Mittwoch 6. Januar 2016,,869,5540,2451c38c434ec287aa187ed6fbcc496a13c7b99c,,unique,keep,,no,,no,,,POLITIK; S. 2,no,
Cologne,Cologne,Cologne(113).ZIP,_Eine neue Dimension des Hasses_.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Eine neue Dimension des Hasses_.PDF,"""Eine neue Dimension des Hasses""",eine neue dimension des hasses,Frankfurter Rundschau,frankfurter rundschau,Montag 11. Januar 2016,,595,4371,5fee9ce80ba7ec6437d0cdc6b0052bac9e6b246c,,unique,keep,,no,,no,,,POLITIK; S. 2,no,
Cologne,Cologne,Cologne(113).ZIP,_Es fehlt an der Durchsetzung des geltenden Rechts_.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Es fehlt an der Durchsetzung des geltenden Rechts_.PDF,"""Es fehlt an der Durchsetzung des geltenden Rechts""",es fehlt an der durchsetzung des geltenden rechts,Kölnische Rundschau,kölnische rundschau,11. Januar 2016,,1090,7918,8c257d5ba1a947a704175c8e6a5233d7bf0fd10c,,unique,keep,,no,,no,,,BR; S. 13,no,
Cologne,Cologne,Cologne(113).ZIP,"_Es ist erschreckend, was passiert ist_.PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Es ist erschreckend, was passiert ist_.PDF","""Es ist erschreckend, was passiert ist""",es ist erschreckend was passiert ist,Kölnische Rundschau,kölnische rundschau,06. Januar 2016,,1058,7304,77180ed911a4ad8d14c5fb6761bc249c76bbc601,,unique,keep,,no,,no,,,KÖLN; S. 27,no,
Cologne,Cologne,Cologne(113).ZIP,_Gastrecht darf nicht missbraucht werden_(2).PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Gastrecht darf nicht missbraucht werden_(2).PDF,"""Gastrecht darf nicht missbraucht werden""",gastrecht darf nicht missbraucht werden,Kölnische Rundschau,kölnische rundschau,09. Januar 2016,,38,268,d9f7f3342a540b3b46e64a0576020c97a1939b7c,exact_001,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: _Gastrecht darf nicht missbraucht werden_.PDF (exact_001).,POL; S. 1,yes,very_short_low_value
Cologne,Cologne,Cologne(113).ZIP,_Gastrecht darf nicht missbraucht werden_.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Gastrecht darf nicht missbraucht werden_.PDF,"""Gastrecht darf nicht missbraucht werden""",gastrecht darf nicht missbraucht werden,Kölnische Rundschau,kölnische rundschau,09. Januar 2016,,38,268,d9f7f3342a540b3b46e64a0576020c97a1939b7c,exact_001,duplicate_exact,keep,,yes,cleanest_parsed_version,no,,Representative kept for exact_001.,POL; S. 1,yes,very_short_low_value
Cologne,Cologne,Cologne(113).ZIP,_Ich habe mich noch nie so fremd gefühlt_ Die Redaktion erreichen derzeit sehr viele Reaktionen von.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Ich habe mich noch nie so fremd gefühlt_ Die Redaktion erreichen derzeit sehr viele Reaktionen von.PDF,"""Ich habe mich noch nie so fremd gefühlt"" Die Redaktion erreichen derzeit sehr viele Reaktionen von Lesern",ich habe mich noch nie so fremd gefühlt die redaktion erreichen derzeit sehr viele reaktionen von lesern,Kölner Stadt-Anzeiger,kölner stadtanzeiger,07. Januar 2016,,905,6405,c0c042e159ec66d886be122e881738d9dc565644,variant_001,regional_variant,keep,,yes,longest_usable_body,no,,Representative kept for variant_001.,LO; S. 24,no,
Cologne,Cologne,Cologne(113).ZIP,_Ich habe mich noch nie so fremd gefühlt_.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Ich habe mich noch nie so fremd gefühlt_.PDF,"""Ich habe mich noch nie so fremd gefühlt""",ich habe mich noch nie so fremd gefühlt,Kölner Stadt-Anzeiger,kölner stadtanzeiger,07. Januar 2016,,32,211,350896a70f970229622653aad8fc8296d62b885a,variant_001,regional_variant,drop,regional_variant,no,,no,,Dropped in favor of representative file: _Ich habe mich noch nie so fremd gefühlt_ Die Redaktion erreichen derzeit sehr viele Reaktionen von.PDF (variant_001).,LO; S. 24,yes,very_short_low_value
Cologne,Cologne,Cologne(113).ZIP,_Neue Dimension der Gewalt_ Sexuelle Übergriffe auf Frauen in Köln.PDF,C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Neue Dimension der Gewalt_ Sexuelle Übergriffe auf Frauen in Köln.PDF,"""Neue Dimension der Gewalt"" Sexuelle Übergriffe auf Frauen in Köln",neue dimension der gewalt sexuelle übergriffe auf frauen in köln,Berliner Zeitung,berliner zeitung,05. Januar 2016,BLZ,232,1691,dee002aa10d4663482d402a497e96b4b01ed3e24,,unique,keep,,no,,no,,,PAN; S. 28,no,
Cologne,Cologne,Cologne(113).ZIP,"_Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto(2).PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto(2).PDF","""Wer Missbrauch betreibt, verwirkt Gastrecht"" Landrat Michael Kreuzberg und Leitender Polizeidirektor Roland",wer missbrauch betreibt verwirkt gastrecht landrat michael kreuzberg und leitender polizeidirektor roland,Kölnische Rundschau,kölnische rundschau,09. Januar 2016,,704,5011,c5d15c4c24f4053e54c277906cfbf1bb5bf26ec3,variant_002,regional_variant,keep,,yes,longest_usable_body,no,,Representative kept for variant_002.,RBG-LOK; S. 45,no,
Cologne,Cologne,Cologne(113).ZIP,"_Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto.PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto.PDF","""Wer Missbrauch betreibt, verwirkt Gastrecht""; Landrat Michael Kreuzberg und Leitender Polizeidirektor Roland",wer missbrauch betreibt verwirkt gastrecht landrat michael kreuzberg und leitender polizeidirektor roland,Kölnische Rundschau,kölnische rundschau,09. Januar 2016,,699,4980,d36f33217e3e31fd8977fd2894a55375e672f385,variant_002,regional_variant,drop,regional_variant,no,,no,,"Dropped in favor of representative file: _Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto(2).PDF (variant_002).",RKL-LOK; S. 45,no,
Cologne,Cologne,Cologne(113).ZIP,"_Wer Missbrauch betreibt, verwirkt sein Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidi(2).PDF","C:\PythonProjects\AfD-project\Corpora\Cologne\raw_unarchive\_Wer Missbrauch betreibt, verwirkt sein Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidi(2).PDF","""Wer Missbrauch betreibt, verwirkt sein Gastrecht"" Landrat Michael Kreuzberg und Leitender Polizeidirektor",wer missbrauch betreibt verwirkt sein gastrecht landrat michael kreuzberg und leitender polizeidirektor,Kölner Stadt-Anzeiger,kölner stadtanzeiger,09. Januar 2016,,704,5014,e8d0205fbf0adec936212cd5dcf66da317e8c10a,variant_003,regional_variant,keep,,yes,longest_usable_body,no,,Representative kept for variant_003.,KB; S. 33,no,
