group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,_Wir würden nicht überleben_(2).PDF | _Wir würden nicht überleben_.PDF,"""Wir würden nicht überleben"" | ""Wir würden nicht überleben""",Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 21. Februar 2019 | Samstag 23. Februar 2019
exact_002,duplicate_exact,2,Auf Distanz zu Merkel Die CDU hat anderthalb Tage über die Flüchtlingspolitik diskutiert. Herausgeko(2).PDF | Auf Distanz zu Merkel Die CDU hat anderthalb Tage über die Flüchtlingspolitik diskutiert. Herausgeko.PDF,Auf Distanz zu Merkel Die CDU hat anderthalb Tage über die Flüchtlingspolitik diskutiert. Herausgekommen | Auf Distanz zu Merkel Die CDU hat anderthalb Tage über die Flüchtlingspolitik diskutiert. Herausgekommen,Rheinische Post | Rheinische Post,Dienstag 12. Februar 2019 | Dienstag 12. Februar 2019
exact_003,duplicate_exact,2,Die Slowakei hilft Merkel Die Kanzlerin trifft sich mit den Visegrad-Staaten – keine einfache Konste(2).PDF | Die Slowakei hilft Merkel Die Kanzlerin trifft sich mit den Visegrad-Staaten – keine einfache Konste.PDF,Die Slowakei hilft Merkel Die Kanzlerin trifft sich mit den Visegrad-Staaten – keine einfache Konstellation. | Die Slowakei hilft Merkel; Die Kanzlerin trifft sich mit den Visegrad-Staaten – keine einfache Konstellation.,Rheinische Post | Rheinische Post,Freitag 8. Februar 2019 | Freitag 8. Februar 2019
exact_004,duplicate_exact,2,Halle brannte noch am Nachmittag Die Messe-Lagerhalle in Stockum ist  dennoch zu zwei Dritteln erhal(2).PDF | Halle brannte noch am Nachmittag Die Messe-Lagerhalle in Stockum ist  dennoch zu zwei Dritteln erhal.PDF,Halle brannte noch am Nachmittag Die Messe-Lagerhalle in Stockum ist dennoch zu zwei Dritteln erhalten | Halle brannte noch am Nachmittag; Die Messe-Lagerhalle in Stockum ist dennoch zu zwei Dritteln erhalten,Rheinische Post | Rheinische Post,Samstag 23. Februar 2019 | Samstag 23. Februar 2019
exact_005,duplicate_exact,2,Mehr Abschiebungen in die Maghreb-Staaten Deutschland hat mit einer Fülle von Abkommen und Übereinkü(2).PDF | Mehr Abschiebungen in die Maghreb-Staaten Deutschland hat mit einer Fülle von Abkommen und Übereinkü.PDF,Mehr Abschiebungen in die Maghreb-Staaten Deutschland hat mit einer Fülle von Abkommen und | Mehr Abschiebungen in die Maghreb-Staaten Deutschland hat mit einer Fülle von Abkommen und,Rheinische Post | Rheinische Post,Freitag 22. Februar 2019 | Freitag 22. Februar 2019
exact_006,duplicate_exact,2,Türkei lässt abgeschobenen Islamisten laufen Adem Y. war Mitglied der Sauerlandgruppe. In den USA lä(2).PDF | Türkei lässt abgeschobenen Islamisten laufen Adem Y. war Mitglied der Sauerlandgruppe. In den USA lä.PDF,Türkei lässt abgeschobenen Islamisten laufen Adem Y. war Mitglied der Sauerlandgruppe. In den USA läuft | Türkei lässt abgeschobenen Islamisten laufen Adem Y. war Mitglied der Sauerlandgruppe. In den USA läuft,Rheinische Post | Rheinische Post,Dienstag 26. Februar 2019 | Dienstag 26. Februar 2019
exact_007,duplicate_exact,2,„Habt keine Angst!“(2).PDF | „Habt keine Angst!“.PDF,„Habt keine Angst!“ | „Habt keine Angst!“,Rheinische Post | Rheinische Post,Samstag 2. Februar 2019 | Samstag 2. Februar 2019
exact_008,duplicate_exact,2,„Ich hasse den Karneval in Köln“ Der in Neuss aufgewachsene Kabarettist findet zu allem klare Worte_(2).PDF | „Ich hasse den Karneval in Köln“ Der in Neuss aufgewachsene Kabarettist findet zu allem klare Worte_.PDF,„Ich hasse den Karneval in Köln“ Der in Neuss aufgewachsene Kabarettist findet zu allem klare Worte: zu | „Ich hasse den Karneval in Köln“ Der in Neuss aufgewachsene Kabarettist findet zu allem klare Worte: zu,Rheinische Post | Rheinische Post,Samstag 16. Februar 2019 | Samstag 16. Februar 2019
near_001,duplicate_near,2,Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt _Angeko(2).PDF | Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt _Angeko.PDF,"Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt ""Angekommen und | Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt ""Angekommen und",Südwest Presse | Südwest Presse,Donnerstag 28. Februar 2019 | Donnerstag 28. Februar 2019
near_002,duplicate_near,2,Wer tötete Daniel H._ Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in Ch(2).PDF | Wer tötete Daniel H._ Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in Ch.PDF,Wer tötete Daniel H.? Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in | Wer tötete Daniel H.? Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2019 | 28. Februar 2019
near_003,duplicate_near,2,"Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung daf(2).PDF | Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung daf.PDF","Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung dafür | Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung dafür",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2019 | 28. Februar 2019
variant_001,regional_variant,2,Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt _Angeko(2).PDF | Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt _Angeko.PDF,"Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt ""Angekommen und | Kleine Hilfen mit großer Wirkung Ein junger Syrer unterstützt Flüchtlingsfamilien im Projekt ""Angekommen und",Südwest Presse | Südwest Presse,Donnerstag 28. Februar 2019 | Donnerstag 28. Februar 2019
variant_002,regional_variant,2,Wer tötete Daniel H._ Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in Ch(2).PDF | Wer tötete Daniel H._ Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in Ch.PDF,Wer tötete Daniel H.? Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in | Wer tötete Daniel H.? Nach dem gewaltsamen Tod des 35-jährigen Tischlers im vergangenen Sommer in,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2019 | 28. Februar 2019
variant_003,regional_variant,2,"Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung daf(2).PDF | Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung daf.PDF","Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung dafür | Zu viel Geduld Viele Flüchtlinge bekommen eine Duldung, auch wenn es keine humanitäre Begründung dafür",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),28. Februar 2019 | 28. Februar 2019
