file_name,decision,reason,duplicate_group,notes
",,Migrationsfrage ist die Mutter aller Probleme'' Der Bundesinnenminister über den Fall Sami A. und.PDF",keep,,,
2000 Polizisten halten in Chemnitz die Demonstranten auseinander Großkundgebungen bleiben weitgehend.PDF,keep,,,
4000 stoppen AfD-Demo in Rostock Antisemitische Parolen bei Dortmunder Aufzug.PDF,keep,,,
5 000 Berliner demonstrieren gegen Rechts Reaktion auf Geschehnisse in Chemnitz.PDF,keep,,,
_Am Arsch_.PDF,keep,,,
_Auch die AfD wird die Ostdeutschen letztlich enttäuschen_.PDF,keep,,,
"_Bekannt sind wir jetzt jedenfalls_ Sören Uhle hat den schwierigen Job, für den Standort Chemnitz zu.PDF",keep,,,
_CDU-Regierungen ignorierten Rechtsradikalismus_ Grüne kritisieren Kretschmers Regierungserklärung _.PDF,keep,,,
"_Das Gefühl, nicht sicher leben zu können_ Chemnitz und die Folgen_ Sachsens Vizeregierungschef Duli.PDF",keep,,,
_Das ist eine Farce_.PDF,keep,,,
_Der Osten lässt sich nicht mehr mit der DDR erklären_.PDF,keep,,,
"_Der Staat muss beweisen, dass er ein starker Staat ist_ Volker Kauder, Fraktionsvorsitzende der Uni.PDF",keep,,,
_Der Union einen Riegel vorschieben_.PDF,keep,,,
_Die Spannungen nehmen zu_ Rechtsradikalismus-Expertin Schellenberg über die Gründe der Gewalt gegen.PDF,keep,,,
"_Ein anderes Bild unserer Stadt zeigen_ Gerd Strohmeier, der Rektor der TU Chemnitz, über die Aussch.PDF",keep,,,
_Ein Angriff auf die Demokratie_ Michael Nattke vom Kulturbüro Sachsen über die rechte Szene in Chem.PDF,keep,,,
_Ein Staat auf dem Rückzug_.PDF,keep,,,
_Eine Diktatur zu viel_ In Ostdeutschland sind immer noch Spätfolgen von Nationalsozialismus und Kom.PDF,keep,,,
"_Es gab keinen Mob, keine Hetzjagd und keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisie.PDF",keep,,,
"_Früher hätten Passanten eingegriffen_ Woher stammt die Wut auf ARD, ZDF & Co._ Wie kommen wir da wi.PDF",keep,,,
"_Gewaltfreiheit steht über allen Diskussionen_ Bundestagspräsident Wolfgang Schäuble ruft dazu auf,.PDF",keep,,,
_Hetzjagd_ ist ein Propagandawort Von Harald Martenstein.PDF,drop,commentary_noncore,,
_Hetzjagden nehmen wir nicht hin_ Angela Merkel verurteilt die Ausschreitungen in Chemnitz. Doch die.PDF,keep,,,
"_Hört auf zu diffamieren!_ Nicht der Rechtsextremismus ist das Problem Sachsens, sondern die große U.PDF",keep,,,
"_Ich bin froh, dass ich nie der Ost-Barde war_ Clueso gehört zu den erfolgreichsten deutschen Sänger.PDF",keep,,,
_In Frankfurt ist kein Platz für Ausgrenzung_.PDF,keep,,variant_001,Representative kept for variant_001.
_In Sachsen hat es der moralische Anstand schwer_ Wie kann es zu Szenen wie denen in Chemnitz kommen.PDF,keep,,,
_Internationale Studierende in Chemnitz sind Attacken ausgesetzt_ Der Studierendenrat der sächsische.PDF,keep,,,
"_Judensau, verschwinde aus Deutschland!_.PDF",keep,,,
_Kein Platz für Ausgrenzung_.PDF,drop,regional_variant,variant_001,Dropped in favor of representative file: _In Frankfurt ist kein Platz für Ausgrenzung_.PDF (variant_001).
"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF",keep,,variant_002,Representative kept for variant_002.
"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF",drop,regional_variant,variant_002,"Dropped in favor of representative file: _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF (variant_002)."
_Niemand darf mehr weggucken_ Leidenschaftlich_ Im Abgeordnetenhaus findet Michael Müller klare Wort.PDF,keep,,,
"_Sie sollen wissen, dass wir sie beobachten_ Chemnitz -Debatte_ Rechtsradikalismus nahm auch in Cott.PDF",keep,,,
_Wenn sich die Neonazis durchsetzen_ Verfassungsschutz in Thüringen prüft AfD.PDF,keep,,,
_Wir brauchen einen Ruck in Deutschland_ Sachsens Ministerpräsident kündigt nach Gewalt in Chemnitz.PDF,keep,,,
_Wir müssen immer wieder rote Linien ziehen_.PDF,keep,,,
_Zur Not bindet euch den rechten Arm fest_.PDF,keep,,,
_Zusammenwirken von AfD und Neonazis beobachten_ Bundestagsvize Oppermann (SPD) sieht nach Ausschrei.PDF,keep,,,
Acht Menschen melden Attacken.PDF,keep,,,
AfD als _Prüffall_ Der Verfassungsschutz von Thüringen nimmt den Landesverband der Partei ins Visier.PDF,keep,,,
AfD womöglich extremistisch_ Der Verfassungsschutz nimmt den Landesverband der Partei unter Björn Hö.PDF,keep,,,
"AfD-Chef_ Maaßen suchte den Kontakt Gauland zufolge ging es um die Frage, ob sich in der AfD-Fraktio.PDF",keep,,,
AfD-Jugend wird beobachtet Verfassungsschutz Pistorius will nicht länger wegschauen.PDF,keep,,,
Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis(2).PDF,drop,regional_variant,variant_003,Dropped in favor of representative file: Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.PDF (variant_003).
Alte Kameraden Der AfD-Mann Björn Höcke ist gut bekannt mit einem der führenden deutschen Neonazis.PDF,keep,,variant_003,Representative kept for variant_003.
"Am rechten Rand Die rechtsradikale, rassistische, völkische Szene wächst und ist immer besser vernet.PDF",keep,,,
Anders denken.PDF,keep,,,
Angst vor Übergriffen Der BAK fordert besonderen Schutz für Spiel in Chemnitz.PDF,keep,,,
Appelle aus Berlin Merkel findet klare Worte zu Chemnitz die Opposition zu Horst Seehofer.PDF,keep,,,
ARTIKEL(2).PDF,keep,,,
ARTIKEL(3).PDF,keep,,,
ARTIKEL.PDF,keep,,,
Auf der Suche nach dem öffentlichen Wohnzimmer _Alte Mitte - neue Liebe__ Initiative schlägt Platz d.PDF,keep,,,
Auf freiem Fuß - aber weiter unter Verdacht Nur wenige Fälle sind so verworren wie der Totschlag von.PDF,keep,,,
Auf Köthens Straßen Nach einem Todesfall in Sachsen-Anhalt mobilisieren rechte bis rechtsextreme Gru.PDF,keep,,,
Aufruf zur Besonnenheit in Köthen.PDF,keep,,,
Auftrag_ Umsturz Die AfD sieht »vorrevolutionäre Zustände« im Land und berauscht sich an ihrer eigen.PDF,keep,,,
"Aus dem Schatten Recht und Gesetz sind für ihn nichts, was zu diskutieren ist. Nun aber musste er si.PDF",keep,,,
"Aus einem Verfassungsschutz sollte man zwei Behörden machen. Eine klärt auf, eine wehrt ab. Aber ohn.PDF",keep,,,
Ausregiert.PDF,drop,commentary_noncore,,
Bald wieder Hass- Demos Ab Mittwoch fangen die rechtsextremen  Merkel-muss-weg - Demos wieder an   d.PDF,keep,,,
Barbarei.PDF,drop,commentary_noncore,,
Bass statt Hass Zehntausende tanzen und feiern beim Gratiskonzert eine Woche nach den rechtsextremis.PDF,keep,,,
Bayerisches Spiel mit dem Feuer CSU-Chef Seehofer provoziert erneut beim Thema Flüchtlinge. Die SPD.PDF,keep,,,
Beförderung als Sprengstoff für SPD Fall Maaßen Bayerns Sozialdemokraten fordern Veto ihrer Bundesmi.PDF,keep,,,
Berichterstattung treibt AfD Trotzwähler zu.PDF,keep,,,
"Berliner Nazis im Sachsenland Neonazis, Reichsbürger und AfD waren in Chemnitz und wollen wiederkomm.PDF",keep,,,
Beschönigte Reflexionen.PDF,keep,,,
Besuch von der Regierung.PDF,keep,,,
Beweise bitte! Verfassungsschutzchef Hans-Georg Maaßen verwirrt mit seinen Worten zu den Vorfällen i.PDF,keep,,,
Bräunlich himmelblau Der Chemnitzer FC wird von einem Insolvenzverwalter geführt. Der möchte den Klu.PDF,keep,,,
Bundesländer schicken Polizisten nach Sachsen Baden-Württemberg entsendet eine Hundertschaft und Was.PDF,keep,,,
Bundespräsident fordert schnelle Entscheidung im Fall Maaßen Steinmeier_ Europa braucht eine stabile.PDF,keep,,,
Bundesregierung findet langsam wieder Worte Extremismus Außenminister Maas um Deutschlands internati.PDF,keep,,,
"CDU will von Maaßen Fakten sehen Der Verfassungsschutzpräsident bezweifelte öffentlich, dass es in C.PDF",keep,,,
Chemnitz bewegt Berlin Nach den Ausschreitungen in Sachsen gehen die Menschen auch hier gegen rassis.PDF,keep,,,
Chemnitz im Südwesten denkbar_ Die Ausschreitungen in Sachsen können nach Ansicht von Politologen au.PDF,keep,,,
Chemnitz kommt nach Gewalt nicht zur Ruhe Am Donnerstag will Ministerpräsident Kretschmer die Stadt.PDF,keep,,,
Chemnitz oder die Verwilderung politischer Sitten.PDF,drop,commentary_noncore,,
"Chemnitz polarisiert Berlin Das Abgeordnetenhaus diskutiert über Ausschreitungen, Hetzjagden und bes.PDF",keep,,,
Chemnitz und der Rechtsstaat.PDF,drop,commentary_noncore,,
Chemnitz verändert die Sachsen -Union In seiner Regierungserklärung findet Ministerpräsident Kretsch.PDF,keep,,,
Chemnitz_ Haftbefehl taucht im Internet auf Extremismus Staatsanwalt ermittelt in den eigenen Reihen.PDF,keep,,,
"Chemnitzer Chaoten Sachsens Regionalligist hat seit Jahren ein Problem mit gewaltbereiten, rechten F.PDF",keep,,,
"Danke, Polizei!.PDF",keep,,,
Das Erbe von König Kurt Biedenkopf verharmloste rechtes Gedankengut.PDF,keep,,,
Das rechte Auge blinzelt Nach den gemeinsamen Protesten von AfD und Pegida in Chemnitz mehren sich d.PDF,keep,,,
Das sind gezielte Angriffe Rechtsextreme verbreiten Hass und Falschinformationen im Netz. Extremismu.PDF,keep,,,
Das umstrittene Video aus Chemnitz Extremismus Was wir wissen   Und was wir nicht wissen   Ein Fakte.PDF,keep,,,
Debatte auf Abwegen.PDF,keep,,,
Den schnappen wir uns Hat es in Chemnitz eine Hetzjagd gegeben_ Verfassungsschutzchef Maaßen spricht.PDF,keep,,,
Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF,keep,,variant_004,Representative kept for variant_004.
Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_.PDF,drop,regional_variant,variant_004,Dropped in favor of representative file: Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF (variant_004).
Der Chemnitz-Effekt Vor einem Monat demonstrierten Rechte und Rechtsextreme in Chemnitz. Häufen sich.PDF,keep,,,
Der Fall Hans-Georg Maaßens Einem Medienbericht zufolge soll Angela Merkel sich gegen den Verbleib d.PDF,keep,,,
Der Fall M. Verfassungsschutzpräsident Hans-Georg Maaßen steht unter wachsendem Druck. Dienstag woll.PDF,keep,,,
"Der Groll auf Fremde Die Vorfälle in Chemnitz sind nicht die ersten Nachrichten aus Sachsen , die au.PDF",keep,,,
Der Musiker Die Polizeichefin Der Ministerpräsident Gesichter einer tragischen Woche Ein junger Mann.PDF,keep,,,
"Der rechte Moment Hitlergrüße, Jagdszenen, blanker Hass. Vom Aufmarsch der Neonazis wird Chemnitz vö.PDF",keep,,,
