group_id,group_type,item_count,files,titles,publications,dates
near_001,duplicate_near,2,"Drei Länder auf der Anklagebank Die Europäische Union eröffnet ein Verfahren gegen Ungarn, Tschechie.PDF | Drei Länder auf der Anklagebank EU-Verfahren gegen Ungarn, Tschechien und Polen wegen Flüchtlingsver.PDF","Drei Länder auf der Anklagebank; Die Europäische Union eröffnet ein Verfahren gegen Ungarn, Tschechien | Drei Länder auf der Anklagebank EU-Verfahren gegen Ungarn, Tschechien und Polen wegen",Die Welt | Die Welt,Mittwoch 14. Juni 2017 | Mittwoch 14. Juni 2017
near_002,duplicate_near,2,"Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichn(2).PDF | Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichn.PDF","Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichnet ihn | Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichnet ihn",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),8. Juni 2017 | 8. Juni 2017
near_003,duplicate_near,2,"Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeiter(2).PDF | Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeiter.PDF","Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeitern | Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeitern",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),1. Juni 2017 | 1. Juni 2017
near_004,duplicate_near,2,"Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen_ Die Christdemokraten(2).PDF | Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen_ Die Christdemokraten.PDF","Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen: Die Christdemokraten und | Mit der CDU in einem Boot; Erst willkommen heißen, dann die Gesetze verschärfen: Die Christdemokraten und",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),14. Juni 2017 | 14. Juni 2017
near_005,duplicate_near,2,"Schandfleck oder Chance_ Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol ei(2).PDF | Schandfleck oder Chance_ Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol ei.PDF","Schandfleck oder Chance? Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol einer | Schandfleck oder Chance? Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol einer",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),22. Juni 2017 | 22. Juni 2017
variant_001,regional_variant,2,"Drei Länder auf der Anklagebank Die Europäische Union eröffnet ein Verfahren gegen Ungarn, Tschechie.PDF | Drei Länder auf der Anklagebank EU-Verfahren gegen Ungarn, Tschechien und Polen wegen Flüchtlingsver.PDF","Drei Länder auf der Anklagebank; Die Europäische Union eröffnet ein Verfahren gegen Ungarn, Tschechien | Drei Länder auf der Anklagebank EU-Verfahren gegen Ungarn, Tschechien und Polen wegen",Die Welt | Die Welt,Mittwoch 14. Juni 2017 | Mittwoch 14. Juni 2017
variant_002,regional_variant,2,"Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichn(2).PDF | Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichn.PDF","Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichnet ihn | Etwas lief hier falsch Ein Afghane soll abgeschoben werden, es kommt zu Gewalt. Die Polizei bezeichnet ihn",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),8. Juni 2017 | 8. Juni 2017
variant_003,regional_variant,2,"Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeiter(2).PDF | Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeiter.PDF","Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeitern | Hätte, hätte, hätte Die Regierung wollte verhindern, dass abgelehnte Asylbewerber zu Schwarzarbeitern",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),1. Juni 2017 | 1. Juni 2017
variant_004,regional_variant,2,"Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen_ Die Christdemokraten(2).PDF | Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen_ Die Christdemokraten.PDF","Mit der CDU in einem Boot Erst willkommen heißen, dann die Gesetze verschärfen: Die Christdemokraten und | Mit der CDU in einem Boot; Erst willkommen heißen, dann die Gesetze verschärfen: Die Christdemokraten und",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),14. Juni 2017 | 14. Juni 2017
variant_005,regional_variant,2,"Schandfleck oder Chance_ Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol ei(2).PDF | Schandfleck oder Chance_ Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol ei.PDF","Schandfleck oder Chance? Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol einer | Schandfleck oder Chance? Ein Besuch im griechischen Flüchtlingslager Moria, das vielen als Symbol einer",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),22. Juni 2017 | 22. Juni 2017
