group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,"AfD geht zum Gegenangriff über Proteste, Umfragen und neue Enthüllungen erhöhen den Druck auf die Pa(2).PDF | AfD geht zum Gegenangriff über Proteste, Umfragen und neue Enthüllungen erhöhen den Druck auf die Pa.PDF","AfD geht zum Gegenangriff über; Proteste, Umfragen und neue Enthüllungen erhöhen den Druck auf die | AfD geht zum Gegenangriff über; Proteste, Umfragen und neue Enthüllungen erhöhen den Druck auf die",Rheinische Post | Rheinische Post,Freitag 2. Februar 2024 | Freitag 2. Februar 2024
exact_002,duplicate_exact,2,AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unte(2).PDF | AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unte.PDF,AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unter anderem | AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unter anderem,Rheinische Post | Rheinische Post,Mittwoch 17. Januar 2024 | Mittwoch 17. Januar 2024
exact_003,duplicate_exact,2,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer(2).PDF | Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer.PDF,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer | Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer,Rheinische Post | Rheinische Post,Dienstag 30. Januar 2024 | Dienstag 30. Januar 2024
exact_004,duplicate_exact,2,Düsseldorf erwartet 30.000 Demonstranten Am Wochenende finden in vielen Städten Proteste gegen Recht(2).PDF | Düsseldorf erwartet 30.000 Demonstranten Am Wochenende finden in vielen Städten Proteste gegen Recht.PDF,Düsseldorf erwartet 30.000 Demonstranten; Am Wochenende finden in vielen Städten Proteste gegen | Düsseldorf erwartet 30.000 Demonstranten; Am Wochenende finden in vielen Städten Proteste gegen,Rheinische Post | Rheinische Post,Samstag 27. Januar 2024 | Samstag 27. Januar 2024
exact_005,duplicate_exact,2,"Eine Partei, zwei Zungen(2).PDF | Eine Partei, zwei Zungen.PDF","Eine Partei, zwei Zungen | Eine Partei, zwei Zungen",Frankfurter Rundschau | Frankfurter Rundschau,Samstag 20. Januar 2024 | Samstag 20. Januar 2024
exact_006,duplicate_exact,2,Enthüllung mit unerwarteten Folgen Die Veröffentlichung des Medienhauses Correctiv zu einem privaten(2).PDF | Enthüllung mit unerwarteten Folgen Die Veröffentlichung des Medienhauses Correctiv zu einem privaten.PDF,Enthüllung mit unerwarteten Folgen Die Veröffentlichung des Medienhauses Correctiv zu einem privaten | Enthüllung mit unerwarteten Folgen; Die Veröffentlichung des Medienhauses Correctiv zu einem privaten,Rheinische Post | Rheinische Post,Samstag 10. Februar 2024 | Samstag 10. Februar 2024
exact_007,duplicate_exact,2,"Filmliebe ist jung und manchmal alt Die diesjährige Berlinale war politisch, gerade weil sie das gan(2).PDF | Filmliebe ist jung und manchmal alt Die diesjährige Berlinale war politisch, gerade weil sie das gan.PDF","Filmliebe ist jung und manchmal alt Die diesjährige Berlinale war politisch, gerade weil sie das ganz Private | Filmliebe ist jung und manchmal alt Die diesjährige Berlinale war politisch, gerade weil sie das ganz Private",Welt am Sonntag | Welt am Sonntag,25. Februar 2024 | 24. Februar 2024
exact_008,duplicate_exact,2,Gemeinsam laut werden(2).PDF | Gemeinsam laut werden.PDF,Gemeinsam laut werden | Gemeinsam laut werden,Rheinische Post | Rheinische Post,Samstag 27. Januar 2024 | Samstag 27. Januar 2024
exact_009,duplicate_exact,2,"Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit(2).PDF | Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit.PDF","Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit Mörig | Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit Mörig",Rheinische Post | Rheinische Post,Montag 22. Januar 2024 | Montag 22. Januar 2024
exact_010,duplicate_exact,2,Große Demonstration gegen rechts am kommenden Samstag Ein breites Bündnis ruft nach dem rechten Tref(2).PDF | Große Demonstration gegen rechts am kommenden Samstag Ein breites Bündnis ruft nach dem rechten Tref.PDF,Große Demonstration gegen rechts am kommenden Samstag Ein breites Bündnis ruft nach dem rechten | Große Demonstration gegen rechts am kommenden Samstag Ein breites Bündnis ruft nach dem rechten,Rheinische Post | Rheinische Post,Montag 22. Januar 2024 | Montag 22. Januar 2024
